,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
124,Sherman Douglas,PG,27.0,BOS,78.0,2789.0,14.3,0.5,0.061,0.3,2.8,5.0,3.9,35.8,1.6,0.2,18.3,19.8,,1.9,0.8,2.7,0.046,,0.8,-2.2,-1.4,0.4,1994
126,Greg Dreiling,C,31.0,DAL,54.0,685.0,7.2,0.547,0.01,0.365,7.2,21.8,13.9,6.5,1.2,2.4,26.3,10.1,,0.0,0.6,0.6,0.04,,-6.4,0.7,-5.7,-0.6,1994
127,Clyde Drexler,SG,31.0,POR,68.0,2334.0,18.4,0.514,0.198,0.33299999999999996,6.9,14.2,10.4,21.9,2.0,0.9,11.6,25.0,,4.2,2.7,6.8,0.14,,2.6,0.4,3.0,3.0,1994
128,Kevin Duckworth,C,29.0,WSB,69.0,1485.0,8.2,0.457,0.0,0.299,8.0,17.8,12.8,5.5,1.2,1.5,16.8,17.3,,-1.1,0.6,-0.5,-0.017,,-5.1,-1.5,-6.6,-1.7,1994
129,Chris Dudley,C,28.0,POR,6.0,86.0,6.8,0.262,0.0,0.16,19.4,10.6,15.2,7.4,2.3,2.2,7.0,13.6,,-0.1,0.1,0.0,0.022000000000000002,,-5.6,-1.2,-6.8,-0.1,1994
130,Joe Dumars,SG,30.0,DET,69.0,2591.0,16.2,0.5579999999999999,0.28600000000000003,0.295,1.5,5.0,3.2,16.6,1.2,0.1,11.2,24.0,,4.6,-0.1,4.4,0.08199999999999999,,2.3,-2.0,0.3,1.5,1994
131,Acie Earl,C,23.0,BOS,74.0,1149.0,9.2,0.46299999999999997,0.003,0.43,8.3,16.0,12.1,1.5,1.0,2.9,14.0,19.4,,-0.7,0.9,0.2,0.008,,-5.2,-1.4,-6.5,-1.3,1994
132,Bill Edwards,PF,22.0,PHI,3.0,44.0,-0.4,0.149,0.278,0.278,12.4,22.5,17.5,12.3,3.4,1.4,16.5,23.9,,-0.3,0.1,-0.3,-0.282,,-11.2,-2.4,-13.6,-0.1,1994
133,Blue Edwards,SF,28.0,MIL,82.0,2322.0,12.9,0.54,0.133,0.23600000000000002,4.9,11.8,8.1,12.1,1.8,0.8,14.2,19.2,,1.7,1.2,2.9,0.06,,-1.2,-1.0,-2.2,-0.1,1994
134,Doug Edwards,PF,23.0,ATL,16.0,107.0,9.4,0.384,0.02,0.327,7.2,11.3,9.2,11.3,1.0,3.0,9.7,24.9,,-0.2,0.1,0.0,-0.009000000000000001,,-5.7,-2.4,-8.1,-0.2,1994
