,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
118,Sam Mitchell,SF,31,IND,17,0,223,3.7,10.3,.359,0.0,0.3,.000,3.7,10.0,.371,3.6,4.5,.786,2.7,5.0,7.7,1.0,0.5,0.2,2.3,6.6,11.0
119,Eric Montross,C,23,BOS,4,4,62,2.9,6.4,.455,0.0,0.0,,2.9,6.4,.455,1.7,3.5,.500,4.1,1.2,5.2,0.0,0.0,0.0,4.6,7.5,7.5
120,Alonzo Mourning*,C,24,CHH,4,4,174,5.0,11.8,.421,0.8,1.7,.500,4.1,10.1,.408,7.4,8.9,.837,2.9,8.1,11.0,2.3,0.6,2.7,2.9,3.5,18.2
121,Dikembe Mutombo*,C,28,DEN,3,3,84,2.6,4.3,.600,0.0,0.0,,2.6,4.3,.600,2.6,3.9,.667,1.7,6.4,8.1,0.4,0.0,3.0,3.0,6.4,7.7
122,Pete Myers,SG,31,CHI,9,0,79,2.3,6.4,.357,0.5,0.9,.500,1.8,5.5,.333,0.9,2.7,.333,2.7,1.8,4.6,3.6,1.8,0.5,1.8,4.6,5.9
123,Ken Norman,SF,30,ATL,3,0,42,6.0,15.4,.389,0.9,6.9,.125,5.1,8.6,.600,0.9,6.0,.143,1.7,6.0,7.7,2.6,0.0,0.9,2.6,11.1,13.7
124,Julius Nwosu,C,23,SAS,2,0,7,0.0,10.3,.000,0.0,0.0,,0.0,10.3,.000,0.0,0.0,,5.1,5.1,10.3,0.0,0.0,0.0,5.1,5.1,0.0
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Shaquille O'Neal*,C,22,ORL,21,21,805,8.7,15.1,.577,0.0,0.0,,8.7,15.1,.577,6.7,11.7,.571,4.2,6.9,11.2,3.1,0.8,1.8,3.3,3.8,24.1
127,Charles Oakley,PF,31,NYK,11,11,421,4.2,9.3,.450,0.3,0.9,.400,3.8,8.5,.455,3.6,4.4,.824,2.7,5.3,8.0,3.5,1.6,0.5,2.1,3.6,12.3
128,Hakeem Olajuwon*,C,32,HOU,22,22,929,11.9,22.3,.531,0.1,0.2,.500,11.8,22.2,.531,4.3,6.3,.681,1.7,7.1,8.8,3.8,1.0,2.4,2.7,3.7,28.1
129,Robert Parish*,C,41,CHH,4,0,71,3.0,5.6,.545,0.0,0.0,,3.0,5.6,.545,1.0,2.5,.400,2.0,2.5,4.6,0.5,0.0,1.5,0.5,1.0,7.1
130,Gary Payton*,PG,26,SEA,4,4,172,6.7,14.0,.478,0.4,2.1,.200,6.3,11.9,.526,1.0,2.5,.417,1.3,0.8,2.1,4.4,1.0,0.0,1.7,2.7,14.9
131,Anthony Peeler,SG,25,LAL,10,10,268,4.3,10.6,.405,1.1,4.2,.258,3.2,6.4,.500,2.3,3.0,.773,1.1,2.7,3.8,3.4,1.3,0.3,1.6,3.1,12.0
